"","Hd0_1","Hd0_2","Hd0_3","Hd0_4","Md0_1","Md0_2","Md0_3","Md0_4"
"NFIL3",9.31302184850846,9.25852170999431,9.42427193729658,9.04082436174077,10.9684601462355,11.1029912953943,11.183794812005,11.0443229652067
"TGFB2",9.25907746864002,8.72550777650303,9.19511696448392,9.28812797389138,10.5781089670126,10.8415295981257,10.9138413990047,10.7442400187445
"HMGA2",11.343471925351,11.0602130647838,11.4804702950403,11.4865716129612,8.51680824721648,8.5842205805915,8.65376103602003,8.78253258998157
"ESM1",7.96214752867208,8.5646463685469,8.32234092636708,8.54346958488856,3.13526222448619,2.0391279555221,4.2669435805765,2.71220714816193
"COL1A2",15.2968955052794,15.1977725957677,15.269144385408,15.2819641089031,15.3288750949847,15.4758170610404,15.5730124704099,15.4202874990686
"PSAT1",10.2877964045769,10.1297842313115,10.4478209444382,10.3683871435136,14.0649806943515,14.0209707520519,13.9896981844771,13.9668995110185
"CDCA7",8.95588621442947,8.76802564561132,8.79428918047067,8.60652020544798,9.80175256378679,9.68443362276621,9.58684558515131,9.52285582120987
"HJURP",11.3110172483791,11.1587194482954,11.4008477584645,11.3217128311265,11.6353869300656,11.8173758285939,11.6439125575446,11.8307677082011
"IL1R1",9.94551819266702,9.59009258459266,10.0758415128999,10.0274580989666,11.0858791316375,11.1978965459625,11.1897601177952,11.1414212224032
"ARL5B",8.61829786394281,8.16667668986753,8.61996718365192,8.76085587076576,7.99830953824308,8.30183057956241,8.26862946213765,8.37429021799044
"CKS2",13.6448292868457,13.7823892327566,13.5592734386638,13.6490522100464,13.7005141369586,13.2386447491445,13.3151354902501,13.4849775782764
"PBK",11.8784630871878,12.0154117980429,11.804602295927,11.8881570265004,12.2449900891119,11.9602214452518,12.0159526164493,12.0691863084281
"E2F1",11.2187326504116,11.340750533398,10.9268548431787,11.0641999330462,9.98699430960204,9.82442413741859,10.0161561990445,10.0507402689499
"FAM222B",9.40838551842679,8.92406231600141,9.46489460075662,9.31226117516441,8.64187824596797,8.80005863921873,8.69379473043498,8.63989478422229
"SLC40A1",7.92684591585917,7.41088032972305,7.98499136849319,7.99275076796883,9.10672653390044,9.2974853812307,9.18275281392746,9.1983512802249
"COL8A1",12.6121234455944,12.2002049851809,12.6619789657587,12.5852457912278,11.1122476433448,11.1714376763559,11.2820339269587,11.2547974915963
"RFC2",10.9503567590766,11.3384752568065,10.6931472134963,10.810499039275,10.24683961459,10.0420798620722,10.0820425942035,10.0455918951097
"IKZF2",5.59345059742506,5.62051583070774,5.71358015574037,5.59536983327755,7.85539842801194,7.89813323320894,8.09661579449978,7.78860315228605
"ADAMTS12",10.1846871948923,9.40110000042485,10.1437116582402,10.239362064631,9.35283574382282,9.749724430042,9.59087539894481,9.6150816616232
"CDK6",10.3247193684325,9.4360486429197,10.5791187351711,10.4031857226221,8.75322369860563,9.02976390863668,9.03102596805616,9.15529179068986
"HAS1",9.30443614047313,9.59948935969517,9.31460639523381,9.19117665195302,8.290050132072,8.38561261661206,8.37546514361884,8.43085346166694
"CDT1",9.74615869682073,10.422211209511,9.81962507994982,9.72355105041982,9.52682114624069,9.42724753082625,9.50031683414672,9.32568261613665
"TP53INP2",9.48070461718394,9.15741904394236,9.39864526243168,9.3561484190074,10.4747252405704,10.5214231581178,10.6899096898033,10.5508566503545
"SLC38A2",14.0295301382988,13.4749517621427,14.1220005973045,14.1024156143546,13.1346284491258,13.1884550089187,13.1137028569061,13.2304809382833
"STRADB",12.1566407310034,12.028170385941,12.1979923627728,12.0721192222777,8.71011759811437,8.93778636691244,8.58116432310367,8.83412186764282
"SSRP1",11.6160533554459,11.8253976502413,11.5890003512818,11.5811373975188,12.735395744048,12.6731618320556,12.6931609240057,12.6682476923626
"TXNIP",11.6520724249034,11.6667590750928,11.9522428244244,11.6760039895107,13.7095958215173,13.7200553952162,13.763964787311,13.7048767273972
"RNF44",8.40184096863858,8.15750614364611,8.26151032160467,8.20803080469637,9.28430467402651,9.47793295802881,9.42952410330601,9.35585149040854
"KLHDC3",11.1782700090028,11.4309293833194,11.1528181669025,11.0499188815793,11.2314194290531,11.1977260029379,11.177406335304,11.1920968390793
"GLT8D2",10.6443458099443,10.5665183764684,10.7502404097523,10.6701719649221,8.25064979410578,8.06090239171722,8.07124824611326,7.87956008563134
"USP1",10.8237739179068,10.6690449765206,10.8120809009404,10.9610741497347,11.0808874798409,11.0186918990774,11.1551947402252,11.0407483375482
"RCC1",10.7294445194763,10.8058703423948,10.8303695293216,10.816418470746,10.3215076252665,10.2248272014228,10.220303594812,10.3684759466871
"DCP2",8.05022085005949,7.67341652958771,8.1450288030447,8.30376045641668,9.52826570077914,9.3941860871146,9.46169686970049,9.53469408770872
"EIF4EBP2",11.0115309459852,10.5064369124776,10.9710267794664,11.0377678093767,10.6101328662521,10.6309379148149,10.6759854956233,10.7396274934409
"ATXN7L3",10.485914770132,10.2961626910772,10.4736410994292,10.4878539083078,10.3995630561948,10.437237453329,10.562790450344,10.5623358896292
"THBS1",16.2332034343602,15.5506434424194,16.2603658288177,16.306543598664,15.2656272731408,15.6174223507101,15.5576530318328,15.5461582440645
"SHMT2",11.6235890040826,11.8138649025558,11.4589565642275,11.5461651658083,13.6352158140491,13.6513840076377,13.4829500885873,13.5471510537921
"KIAA0319L",10.0085168868943,9.84139064073998,10.0737573743571,9.97682295107225,10.656474991782,10.9936938263554,10.9743149007484,10.8709081685169
"PTGES3",13.1971605348583,13.4482797041424,13.2293241432697,13.2532635317353,12.9865313895024,12.7046759025838,13.0460260274241,12.9121325731899
"ZDHHC7",11.4638971615544,11.3544748781988,11.3504879544559,11.4664284294688,9.55354349442947,9.61480931820596,9.7287414645832,9.69001319917026
"CEMIP",9.38861703156261,8.5273625984061,9.25504047309257,9.47005653561437,7.04481292583102,7.41174957703721,7.22777030081849,7.31536381166331
"TFAP4",6.80854843592206,7.04594437432382,7.08667200912669,6.84978748176117,7.91226945793277,7.86587503281241,8.10140511395985,7.98984786951437
"KLF9",9.62065044613268,9.58328653618872,9.74331820097543,9.71996757574454,9.66438208754875,9.79136429151768,9.76393104201855,9.71877599295253
"PHGDH",9.18874503569328,9.72832608543808,8.98823303972596,8.9998328537947,14.3511573775547,14.3154494830431,14.2201089207243,14.2021407349313
"COL1A1",15.9691398200437,15.8756167819488,15.9352437748674,15.9486288610805,13.6181461902959,13.9690022567185,14.0021143425814,13.8825505753698
"HIPK3",9.90249391675837,9.02312194838687,10.2028811104097,10.1973396234126,9.89060173929871,10.0041743851077,10.1445814962995,10.0796381721407
"PLXDC2",7.37017679477198,6.67879423214758,7.05898678757809,7.1037284478935,3.20574616439401,2.82822113985771,2.89293007889662,3.71732505313076
"ATXN7L3B",9.81333709967065,9.57108558169753,9.88690488187082,9.98582420573135,11.6981241902327,11.7311698959861,11.785763387865,11.6865713325174
"DLGAP5",11.3235490146637,11.1739718094836,11.3278666359772,11.2746238896464,10.4189709836422,10.4494396215863,10.4681110908384,10.5296709067693
"PSIP1",10.2857137150913,10.2547158495272,10.3924902477136,10.3120660509487,11.8993819112032,11.872462741368,11.9151715757341,11.924763017815
"HADH",8.56975838609761,8.65898710372443,8.67392969757998,8.52491369326222,11.2563275633205,11.1666007264003,11.0241070278039,11.134287003567
"PPP2R1B",9.72177745590785,9.45116847354957,9.69706037586346,9.7563911849815,10.0824329497875,10.284681156473,10.2743105662226,10.3197853831841
"CITED2",13.7150811830377,13.7272264145435,13.6226263606603,13.6116077464376,13.5517420967263,13.642511561418,13.5215562168251,13.5876436773593
"PCLAF",9.61577635380051,9.96450549661783,9.65449420639772,9.34015111800566,11.3040029912604,11.1565997654482,11.2200025458766,11.2335082260423
"NUP62",10.6203634268404,10.6065808078817,10.5938279862308,10.5922700853489,11.577454839664,11.5225291307304,11.4658010522622,11.4762595287535
"HMOX1",12.5842690128151,13.0193689427771,12.8579397838249,12.5337962445113,11.4671553856856,11.1957263327183,11.0740791751526,11.4370349043658
"TMEM119",7.4448744780926,8.03006656461677,7.4837727092633,7.89024980097116,11.1332967308546,11.1141693986378,11.0176272755445,11.0870284844978
"EXOSC2",9.77108155468582,10.0765511226171,9.71030935899225,9.62497507892028,9.58677246903278,9.36716774043488,9.33780789507581,9.42307847179708
"SESN3",7.18573003849094,6.4680851443557,7.2465831482424,7.29331922505256,9.55364408499436,9.72641121516509,9.67332621382356,9.77881002400708
"C9orf40",9.99571051322307,10.3939174139774,10.0309978051179,10.0320451643284,10.628596866971,10.3484692280391,10.3506419584676,10.6056628262366
"DNAJC27",6.64772481657953,6.52319624107491,6.99051595802176,6.94616622548892,7.55610829914638,7.51578084907295,7.33521783532724,7.51534659282691
"GTSE1",10.8204875093163,10.4087674846125,10.6819913711301,10.7225662287372,10.6955835934524,10.5963365032207,10.5331166471568,11.0059915269983
"RANBP1",11.6488404887298,12.246644856911,11.584891385606,11.611785854311,11.6442736508532,11.2490427047809,11.4901368792862,11.3671009972128
"TMEM97",9.48931623438755,9.66031762011907,9.54589324742305,9.33418703235546,12.5549733426192,12.3255619073275,12.4193686685901,12.4688794846489
"FRY",5.65730181578229,5.54950619609886,5.6332753929484,6.01116950537904,0.450116930103991,1.77106326449351,1.74860191699575,0.984971219859839
"SUDS3",10.0682227108013,9.81632266431537,10.0029728520214,9.95291897329519,9.64562209962699,9.55218071303149,9.53082869399741,9.62281526649898
"CHFR",8.00272586429717,7.67643654112595,7.83931550423401,7.87331020118688,9.88027957167174,10.0154442608244,9.87071704490561,9.92298806795427
"DAB2",10.8622619960905,10.403625741639,10.926691281847,10.7482750874668,10.6700130126003,10.8351181363745,10.8238092824284,10.9878389245072
"WDR5",11.0372747717881,11.0247880085303,10.9584069467354,11.007230348494,10.0890896477866,10.183130848977,10.3535854157979,10.021955873591
"GOLGA7",11.0421707466758,10.7650829300225,10.9850740990364,11.0687438743531,10.3282243188051,10.2449575724814,10.2038596655768,10.2611973200216
"REV3L",8.7920333973317,7.94676410285872,9.13852705512458,9.01262868658791,9.33737098554706,9.5702555198557,9.42767903855013,9.59310867744382
"SOCS5",9.39049242210302,9.16477101418862,9.4723749178985,9.43555534710334,10.9121786158645,10.8469078523506,10.8531595812403,10.7966939840315
"SDC4",12.7880942208936,12.7770802485377,12.714936110712,12.7482564807595,12.1682917094859,12.0445832931546,12.1597369802728,12.055057620998
"HSPD1",13.3774023888741,13.4830725785604,13.3610918388689,13.4209902271553,14.3448161303326,14.2246766195078,14.3561860777461,14.2288880801242
"P4HA1",12.5043403042267,12.4350695033053,12.693532431159,12.5389650626795,14.294911242554,14.2080960443172,14.2277956881826,14.2741708161586
"CHST1",8.2968008670004,8.58666665693915,8.72967328489717,7.91602559102416,11.480475414177,11.5038698407091,11.4402296871566,11.5234570110894
"SKP2",10.5168309046941,10.1305319270149,10.6285915947706,10.7239292328391,9.16321837842038,9.24226773796593,9.27507270313832,9.32586421783107
"PTBP3",9.84804783697536,9.24655341062796,10.0389072975021,9.98613483948626,11.7987694588703,11.7895056083879,11.8476903516126,11.9124954265066
"PLPP3",9.90331925404737,9.91394872885185,9.96529241952703,9.94097906409323,10.5777627334692,10.5916593507395,10.6295074554762,10.7831182415984
"UGCG",12.2930378798792,11.9464631079324,12.3631187830999,12.3339163781474,12.6532835232304,12.5358259044762,12.7403608980309,12.7045157624977
"AK4",10.4908039908504,10.3707543046832,10.7882024102973,10.522905446139,9.52833802939671,9.21277111995834,9.38137118797199,9.40327735945173
"ZBTB18",9.72810041400219,9.40849744961057,9.54399500774169,9.67880409362405,10.5823696947155,10.6784587592912,10.5307743885221,10.5032535429562
"FKBP4",10.6343071043709,10.8813854995691,10.5903028978459,10.5978621219936,13.2573775812194,13.0859572565205,13.1348296723267,13.0738664579536
"CCDC80",12.8730078451251,12.6590359297169,12.8849982610383,12.9052671441889,13.2494560861709,13.3971816995337,13.4303542931255,13.2676541604613
"DTL",10.345134354196,9.86686276069608,10.2128896853939,10.3326616088184,8.11953813249112,8.21381444521797,8.20498128350566,8.17580636605542
"CCBE1",12.0813907717006,11.8493938508558,12.0106786708831,12.0949907839013,6.1669857182797,6.57793490123471,6.44276539007137,6.40706407992544
"MCTP1",7.50857538160772,7.33131319095172,7.90544881060432,7.72603289949694,6.72636456565367,6.91412566118184,6.75438260900949,6.46696202771783
"F2R",10.1138390297215,9.67821930320661,10.2457289060555,10.2837857421118,12.6613363140582,12.6386545248387,12.632864445085,12.6191485090983
"CBR3",7.85197706262601,8.36047506423872,7.07178681340597,7.22617585540522,10.6205260994783,10.4538607342648,10.432669806438,10.6211755466134
"SAE1",12.8310879297121,12.8605089750198,12.6694712572472,12.7357965477619,12.3052574007646,12.1560404846315,12.2925632992977,12.2180196348172
"EXTL2",10.5313983649539,10.4679215639555,10.6578297284725,10.5255657455168,10.2233718595094,10.1843959223025,10.0975649776598,10.1412961676466
"DPY19L3",8.74060950090299,8.03283640721898,8.9684261118536,8.88959058464811,8.70254829388215,8.89235825851049,8.70531077364063,8.90978348253743
"SLBP",12.2256320348523,12.6073449072802,12.2485670559998,12.1267229243198,9.86371694715949,9.42275217173271,9.53263779723243,9.58607002158313
"TET2",7.300761923955,6.13431379399411,7.5473677418257,7.45042807264806,8.10364607426515,8.59835098717966,8.37199162957533,8.39437360796804
"ADAMTS7",10.608765527219,10.5132658921904,10.5176271133749,10.5769521069095,10.2010482597827,10.6027902281067,10.3513492911129,10.4778139445043
"RFC5",9.56530382334219,9.26343358317829,9.33660595996255,9.38529105237265,9.50511280447955,9.40608304543612,9.35482117037115,9.35417065832293
"FBN1",12.5866740601757,11.5739790872035,12.6454475097867,12.6951116638015,12.3608144350923,12.8959538351747,12.8005693709036,12.7262842942085
"SNRPD1",10.5197724154608,10.8685842019115,10.3514433365045,10.4166379094911,11.7425318827631,11.6155630351148,11.5017813335902,11.658622790214
"MRPL15",12.5727828480028,13.1028325146368,12.5839164967204,12.6881714476673,9.16891843845667,8.80435584403841,8.88920834623515,8.83351904417167
"DNAJB9",10.2658252829533,10.0690873794826,10.2389761447722,10.1520888252755,10.0309229281003,9.82652786062477,10.0628648892076,9.85328023380625
"POLR1E",10.3373542236907,10.5108254154666,10.1532170170869,10.340925085355,7.90582641281346,8.12741050391549,7.95997036411721,8.40691525982866
"MBD5",6.52704090589088,6.05216393012759,6.87556000998062,6.67495544445903,7.52770127649463,7.81419146943529,7.78033080335652,7.69952649990763
"MAD1L1",8.92162197899118,9.68161277604091,8.95648827461188,8.92621098517716,9.89686532736058,9.81087716903806,9.71746118467873,9.84063523575506
"TRPS1",7.56197651238394,6.87544070270889,7.69591371876517,7.57589930955188,9.3878917415837,9.55666078037907,9.61003428693245,9.5898328556967
"EPDR1",11.4265295599402,11.4541467391108,11.4596020035183,11.5265224701906,12.4262975511907,12.316474826616,12.2771972757209,12.3389749980811
"GALNT7",10.8676347504164,10.427063824652,10.903851031636,11.0382487459712,9.08587111616322,9.06632379252002,8.87201007314247,9.2929224675441
"BRI3BP",8.73527299886072,8.69053535942577,8.68092418939436,8.82148815814444,10.0469736518179,9.99755393526423,10.0132426241408,10.0043670724135
"RMND5A",8.69890990796979,8.30271521631068,8.62638072568679,8.81207177937232,10.4366441733388,10.6506978702925,10.6084536223148,10.6056166176067
"THOP1",10.3747881757894,10.9004091918489,10.2400858388587,10.3998012598358,10.0862103123381,10.0313128041779,9.93216954075874,10.0613572528383
"SLC46A3",9.02566144113868,9.02251034108347,9.23433276373856,9.21000064845363,7.78998268939291,8.30106733248307,8.16879422336566,8.31479733387909
"PNISR",10.2846626878065,10.0692543053294,10.4007898754916,10.1879845950602,11.6729327555593,11.7329838858924,11.7170406533588,11.8186494992427
"SYTL2",9.13460578563929,8.97772591935877,9.20186337585011,9.05255265274178,7.42716324285938,7.54036871652318,7.92036316372467,7.83347061554852
"DAAM1",6.91308403528951,6.36517604906643,6.73760997220195,7.05740104241501,9.45014422913895,9.72314929658856,9.7909170070694,9.57686510441383
"SESN1",9.22408802216634,9.51473206983933,9.54383705167013,9.31560529654227,11.9747368093319,11.9847202258767,11.9531465621756,11.9589757247889
"KCTD10",10.4628814010788,10.3178426415131,10.5113777528123,10.438184577711,11.0429423273718,11.1584471481473,10.9769195799505,11.0212059722517
"MMAB",8.23010162575284,9.05577001463474,8.17429350220414,8.02337592420785,10.5171512546175,10.5693340628677,10.4903213041318,10.652613548667
"NOP58",11.2678951419985,11.4509327285634,11.4041197352911,11.350718832399,9.90721809620377,9.78037301921901,9.89049158614202,9.74626507918805
"MBTD1",7.03222725565279,6.78779225427338,7.13059762618001,7.53452274052279,8.1556118323292,8.10493881085936,8.34268713010672,8.1836134618987
"ATIC",11.6458849088586,11.9171675795813,11.5841811083626,11.5806152177537,10.7450609063335,10.644002164355,10.6570954578734,10.628753549491
"VPS54",9.64629925917382,9.40428983447841,9.76320333727521,9.62466856320367,9.50734508925609,9.60305470770844,9.62881683623472,9.6449124954743
"CACYBP",11.2003518162428,11.2984218237024,11.1089883074569,11.1730606033561,12.5058073910478,12.2274163902572,12.2718935220063,12.1698913246704
"PEG10",11.9543227747193,11.3940159121871,12.0516324851983,12.0189973885833,10.5232354432076,10.4635675938534,10.5483053810777,10.6096720633008
"RUVBL2",11.9140090250946,12.5563308860755,11.7170494106999,11.7727571396947,11.6120590018994,11.5748581388913,11.3371503949174,11.4949555565291
"KHDRBS1",12.5890384511653,12.634368489536,12.6917810586563,12.647334484891,11.7341077522238,11.7326023461148,11.8879083525624,11.8122670942678
"CXCL3",7.0946172774939,7.59826418892418,7.39703628265262,7.40136124932035,14.0454228121247,13.9627058540159,13.8657440239739,13.9086539863845
"CDK8",9.56560691630582,9.21931608269843,9.43061045185579,9.4087808315108,9.48923993605741,9.45078041341571,9.33810238349709,9.4514147543775
"CXCL12",6.48384460292962,5.93712587695144,5.93655595615783,6.3104349554284,13.7581118546787,13.8304491436035,13.9089128915441,13.8311595124402
"EIF3D",12.6208289234867,12.8234472954681,12.6347960035195,12.5919857883614,11.8701221249508,11.7557454765985,11.7931158242279,11.7225218685151
"SMYD5",10.1667039071082,10.3039244727552,9.97696299606896,10.0674282946304,9.40604234781829,9.59769271951805,9.47260191147399,9.29611447517102
"CREBL2",10.4433851880415,10.4398083426064,10.4943509103718,10.3155426659551,7.94271203133163,8.05892091058525,8.17604898493394,8.04739508397127
"DNAL1",7.55366907593061,7.80211520368531,7.91431031043749,7.7792185004478,8.72733918536866,9.01153791990311,8.85636541515092,8.99433079846527
"RAD51D",7.48926426694667,7.29754077514433,7.29153927275212,7.66973610818508,8.8964410844836,8.71655421848922,8.42482985842198,8.81929679532324
"SEMA3C",11.4757090991655,10.8532529448718,11.6156158913259,11.4574621268038,6.92409538128304,7.3975218483584,7.62284554554258,7.22321359659347
